ratio	abs_diff	story	repo_chars	wiki_chars
37.474	8462	the-bakers-dozen	232	8694
22.135	6256	reginald	6552	296
1.103	956	shock-tactics	10205	9249
1.024	76	reginalds-peace-poem	3291	3215
1.013	121	the-wolves-of-cernogratz	9325	9204
1.012	43	a-young-turkish-catastrophe	3514	3557
1.008	66	the-cupboard-of-the-yesterdays	7902	7968
1.006	51	the-mouse	8618	8669
1.005	23	reginald-on-besetting-sins	4265	4242
1.005	37	the-blood-feud-of-toad-water	7553	7590
1.004	26	hermann-the-irascible	5933	5959
1.004	19	the-matchmaker	5250	5269
1.003	21	the-purple-of-the-balkan-kings	6402	6423
1.003	16	the-saint-and-the-goblin	5362	5378
1.003	37	the-lost-sanjak	12755	12792
1.003	18	filboid-studge	6235	6253
1.003	17	clovis-on-parental-responsibilities	5948	5965
1.002	12	the-image-of-the-lost-soul	4930	4942
1.002	18	the-quince-tree	7415	7433
1.002	20	canossa	8265	8245
1.002	25	the-stalled-ox	10314	10339
1.002	27	on-approval	11539	11566
1.002	17	the-treasure-ship	7652	7669
1.002	19	the-recessional	8610	8629
1.002	29	the-she-wolf	13172	13201
1.002	27	quail-seed	12618	12645
1.002	16	mrs-packletides-tiger	7786	7802
1.002	11	the-talking-out-of-tarrington	5487	5498
1.002	21	a-holiday-task	10856	10877
1.002	20	the-hen	10474	10494
1.002	18	a-defensive-diamond	9650	9668
1.002	18	fur	9775	9793
1.002	18	the-boar-pig	9902	9920
1.002	18	the-philanthropist-and-the-happy-cat	10347	10365
1.002	15	the-forbidden-buzzards	8815	8830
1.002	11	the-stampeding-of-lady-bastable	6606	6617
1.002	13	the-stake	8164	8177
1.002	21	crosscurrents	13514	13535
1.001	14	the-threat	9548	9534
1.001	19	the-unrest-cure	12941	12960
1.001	8	wratislav	5537	5545
1.001	11	the-romancers	7865	7876
1.001	15	the-brogue	10740	10755
1.001	11	the-strategist	8591	8602
1.001	12	laura	9461	9473
1.001	10	down-pens	8254	8244
1.001	12	the-peace-offering	9996	10008
1.001	13	the-toys-of-peace	10871	10884
1.001	17	the-way-to-the-dairy	14268	14251
1.001	10	the-dreamer	8420	8430
1.001	10	the-guests	8455	8465
1.001	10	the-byzantine-omelette	8905	8915
1.001	19	the-story-of-st-vespaluus	17229	17210
1.001	10	the-unkindest-blow	9061	9071
1.001	10	cousin-teresa	9080	9090
1.001	8	the-jesting-of-arlington-stringham	7370	7378
1.001	17	tobermory	16205	16222
1.001	10	for-the-duration-of-the-war	9651	9661
1.001	7	the-open-window	6835	6842
1.001	11	the-elk	10890	10879
1.001	8	louise	8174	8182
1.001	6	reginald-in-russia	6175	6181
1.001	10	the-schartz-metterklume-method	10492	10502
1.001	8	the-phantom-luncheon	8545	8553
1.001	9	the-soul-of-laploshka	9653	9662
1.001	9	the-oversight	9695	9704
1.001	4	reginald-on-worries	4363	4367
1.001	11	the-lumber-room	12509	12520
1.001	7	the-feast-of-nemesis	8329	8336
1.001	8	a-bread-and-butter-miss	9614	9622
1.001	18	ministers-of-grace	21723	21741
1.001	6	reginald-at-the-carlton	7299	7305
1.001	8	fate	9892	9900
1.001	8	the-bag	9930	9938
1.001	10	hyacinth	12849	12859
1.001	7	tea	9159	9166
1.001	9	the-cobweb	11789	11798
1.001	7	dusk	9425	9432
1.001	6	the-chaplet	8200	8194
1.001	7	esme	9666	9673
1.001	12	the-remoulding-of-groby-lington	16988	17000
1.001	4	the-sex-that-doesnt-shop	5744	5748
1.001	8	the-interlopers	11795	11803
1.001	4	the-reticence-of-lady-anne	6193	6197
1.001	7	excepting-mrs-pentherby	10891	10898
1.001	5	adrian	7830	7835
1.001	7	the-sheep	11152	11159
1.001	4	reginalds-rubaiyat	6380	6384
1.001	7	the-name-day	11677	11684
1.001	5	the-easter-egg	8372	8377
1.001	9	the-secret-sin-of-septimus-brope	16345	16354
1.001	3	reginalds-drama	5692	5695
1.000	5	louis	10011	10016
1.000	5	the-yarkand-manner	10473	10478
1.000	2	reginald-on-the-academy	4201	4203
1.000	5	the-lull	10551	10556
1.000	4	the-occasional-garden	8679	8683
1.000	4	mark	9458	9462
1.000	2	judkin-of-the-parcels	4732	4734
1.000	2	reginald-at-the-theatre	4744	4746
1.000	4	the-storyteller	10950	10954
1.000	5	gabriel-ernest	13840	13845
1.000	4	berties-christmas-eve	11704	11708
1.000	3	morlvera	9078	9075
1.000	1	reginald-on-christmas-presents	4083	4084
1.000	3	the-music-on-the-hill	12306	12309
1.000	1	reginald-on-house-parties	4884	4885
1.000	3	the-peace-of-mowsle-barton	15021	15024
1.000	1	reginald-on-tariffs	5228	5229
1.000	2	the-seven-cream-jugs	11551	11549
1.000	1	the-innocence-of-reginald	5912	5913
1.000	1	reginalds-christmas-revel	6407	6408
1.000	1	the-background	7321	7322
1.000	1	the-quest	9632	9631
1.000	1	the-disappearance-of-crispina-umberleigh	10401	10400
1.000	1	a-touch-of-realism	11082	11083
1.000	1	the-seventh-pullet	12964	12965
1.000	1	the-hounds-of-fate	15549	15550
1.000	0	the-penance	12431	12431
1.000	0	the-mappined-life	9013	9013
1.000	0	the-hedgehog	10783	10783
1.000	0	the-bull	9477	9477
1.000	0	the-blind-spot	9277	9277
1.000	0	sredni-vashtar	10228	10228
1.000	0	reginalds-choir-treat	4584	4584
1.000	0	forewarned	14092	14092
1.000	0	a-matter-of-sentiment	8077	8077
